Industry_Type,Region,Country,Year,Co2_Emissions_MetricTons,Energy_Consumption_TWh,Automobile_Co2_Emissions_MetricTons,Industrial_Co2_Emissions_MetricTons,Agriculture_Co2_Emissions_MetricTons,Domestic_Co2_Emissions_MetricTons,Population_Millions,GDP_Billion_USD,Urbanization_Percentage,Renewable_Energy_Percentage,Industrial_Growth_Percentage,Transport_Growth_Percentage
Energy,Asia,India,2004,80.22,229.95,75.94,172.17,39.19,18.38,205.18,14178.11,96.29,51.16,-4.07,-0.85
Mining,Asia,India,2006,155.04,532.28,42.9,45.56,1.87,3,1362.09,22149.76,38.4,22.57,12.4,4.91
Manufacturing,Asia,India,2018,87.86,190.08,56.2,75.37,12.76,8.79,1339.13,4119.12,34.01,5.25,-9.5,-2.02
Construction,Asia,India,2006,80.31,142.62,93.13,22.74,49.53,18.78,1217.74,24665.95,45.71,17,13.53,3.09
Energy,Asia,India,2012,85.83,335.56,62.59,167.79,8.45,12.53,195.92,20047.64,64.65,82,-2.61,-2.52
Mining,Asia,India,2005,146.42,338,95.27,134.54,28.07,17.09,466.84,17028.88,65.05,7.05,13.87,3.82
Construction,Asia,India,2018,200.5,194.02,82.92,92.94,8.86,4.51,788.11,12212.56,51.35,2.2,4.12,9.69
Construction,Asia,India,2007,180.05,302.75,16.06,15.49,6.8,15.29,1167.39,15665.69,30.16,29.29,5.33,8.61
Mining,Asia,India,2002,277.04,334.51,3.48,122.74,3.38,15.36,432.57,9823.36,50.06,22.42,0.45,-2.08
Construction,Asia,India,2022,265.75,152.51,90.46,29.66,1.57,8.17,1403.07,21351.49,35.03,59.25,12.85,3.3
Mining,Asia,India,2006,204.24,807.79,51.83,154.85,40.46,4.4,961.9,4072.8,51,53.32,-5.52,-1.11
Construction,Asia,India,2019,59.5,589.9,64.42,184.07,0.79,11.09,906.63,17932.97,90.95,85.31,13.38,8.01
Energy,Asia,India,2002,32.51,955.95,81.58,110.39,22.48,13.17,938.8,170.03,44.88,44.07,-4.19,-0.94
Mining,Asia,India,2001,118.92,792.48,68.37,50.19,46.04,1.03,633.81,6129.18,66.9,44.57,13.23,-1.16
Manufacturing,Asia,India,2011,200.68,141.2,31.2,167.25,33.39,12.75,377.42,11857.98,25.04,7.37,7.6,5.42
Energy,Asia,India,2020,38.85,645.37,58.3,47.09,47.35,2.27,784.47,23585.43,36.44,93.76,-8.82,8.14
Construction,Asia,India,2011,167.31,530.63,21.7,104.05,15.11,11.33,89.42,6594.44,87.92,36.71,5.1,3.7
Mining,Asia,India,2006,55.79,982.9,28.04,141.61,37.42,9.78,55.27,15541.27,93.86,0.04,-8.96,4.72
Energy,Asia,India,2012,94.43,961.42,17.63,33.57,35.52,10.31,1086.41,12018.07,90.83,69.85,3.19,-0.45
Manufacturing,Asia,India,2007,221.22,803.57,14.9,85.38,41.49,9.03,1482.75,21536.32,96.6,23.27,-5.95,1.99
Energy,Asia,India,2022,6.29,176.71,22.79,129,2.68,12.66,183.01,10793.24,47.39,70.76,12.01,-2
Manufacturing,Asia,India,2012,194.83,943.86,58.13,122.16,26.67,13.89,428.52,3803.54,85.21,8.89,-7.84,-4.69
Construction,Asia,India,2006,18.23,879.44,43.56,6.71,4.78,15.57,767.76,13982.8,48.24,17.8,-6.88,-4.94
Manufacturing,Asia,India,2005,287.61,94.38,80.4,49.38,10.2,17.19,902.85,5566.82,76.33,75.06,-9.39,2.47
Manufacturing,Asia,India,2014,143.53,646.19,51.1,3.91,7.75,1.35,252.24,14586.28,74.92,73.16,3.76,-4.44
Construction,Asia,India,2010,253.22,844.79,4.14,106.32,1.38,5.06,164.37,17940.22,44.41,67.83,14.2,6.81
Construction,Asia,India,2019,50.24,469.81,24.59,144.41,34.79,2.07,65.15,7753.45,22.59,21.2,0.55,0.39
Manufacturing,Asia,India,2004,58.94,971.26,12.51,121.83,45.95,1.81,1301.22,16052.2,81.69,53.13,10.46,2.39
Mining,Asia,India,2013,253.46,659.32,99.46,57.65,14.62,13.42,886.62,23151.1,37.61,98.23,4.44,-3.25
Mining,Asia,India,2014,130.56,296.93,23.67,127.85,48.54,11.47,347.68,10026.82,55.74,18.77,-3.14,7.95
Construction,Asia,India,2002,148.36,977.72,40.19,178.63,4.94,13.79,1019.14,13017.33,86.76,74.75,-3.75,2.34
Mining,Asia,India,2004,194.12,271.49,86.44,120.85,11.12,12.26,239.28,12916.07,26.58,46.53,-6.84,-3
Mining,Asia,India,2007,286.09,267.29,13.32,54.38,44.92,7.03,196.54,24769,49.94,27.47,1.01,-2.19
Manufacturing,Asia,India,2019,250.88,883.78,62.22,185.36,40.1,8.22,238.64,4835.7,92.23,56.72,10.47,4.71
Energy,Asia,India,2018,52.09,210.77,70.95,130.56,33.79,10.77,1079.51,13874.86,71.32,68.63,-5.69,0.86
Construction,Asia,India,2019,118.44,634.56,72.56,150.75,47.78,5.88,1392.19,8840.86,98.56,35.87,-7.47,5.62
Construction,Asia,India,2004,257.34,48.02,16.94,191.5,26.35,0.33,814.94,20826.02,91.13,90.9,3.48,-4.33
Manufacturing,Asia,India,2002,216.09,35.22,69.21,182.93,33.36,17.66,1013.01,13454.73,56.07,50.94,-4.2,8.72
Construction,Asia,India,2018,117.54,211.74,25.74,117.23,1.43,3.46,627.11,7088.07,72.07,67.92,3.99,-4.08
Energy,Asia,India,2004,234.22,5.97,8.62,131.11,0.61,10.65,699.12,6672.09,67.83,55.51,8.26,0.14
Mining,Asia,India,2013,24,944.73,73.26,68.09,21.58,15.92,326.55,19383.47,32.77,1.57,8.91,6.82
Manufacturing,Asia,India,2017,239.05,341.78,50.92,33.7,22.2,12.76,411.1,14883.39,29.34,20.36,-9.15,7.73
Mining,Asia,India,2022,86.53,983.56,62.23,28.82,31.25,5.45,1340.94,12414.79,86.31,56.63,10.1,-3.78
Construction,Asia,India,2018,35.01,72.86,21.09,86.85,17.41,18.26,599.27,15417.1,47.29,30.31,7.74,8.34
Energy,Asia,India,2004,173.92,919.83,36.88,156.28,12.78,6.41,133.87,19730.59,94.93,29.04,1.39,0.19
Mining,Asia,India,2010,41.88,417.04,54.94,137.08,41.84,5.43,1415.68,12283.91,74.43,7.41,10.82,-0.39
Mining,Asia,India,2022,241.9,995.27,34.48,98.81,9.87,2.36,947.24,22663.09,90.71,41.84,7.81,3.46
Manufacturing,Asia,India,2010,236.43,922.23,12.07,10.73,34.27,3.37,979.53,18056.97,43.83,17.06,14.5,7.29
Manufacturing,Asia,India,2011,70.36,698.82,22.08,55.5,23.65,9.79,694.49,4369.65,48.84,18.91,3.86,-4.89
Energy,Asia,India,2007,24.95,697.12,5.87,64.14,0.14,7.59,335.31,4981.69,74.05,36.93,11.18,3.91
Energy,Asia,India,2009,286.54,590.53,30.64,14.39,31.8,19.13,390.75,2665.46,81.15,67.86,9.61,3.54
Energy,Asia,India,2005,152.62,830.37,84.26,65.64,19.11,17.13,478.48,18510.66,54.81,15.4,-6.45,0.76
Construction,Asia,India,2006,141.99,579.52,95.49,33.95,27.09,7.25,559.86,40.97,44.47,97.83,9.79,4.79
Manufacturing,Asia,India,2017,52.65,214.5,99.12,186.68,40.53,11.52,777.47,20478.51,23.3,90.6,-4.3,5.73
Energy,Asia,India,2007,129.96,234.12,81.16,94.28,10.3,1.33,543.54,13892.45,87.38,71.37,7.99,4.17
Manufacturing,Asia,India,2020,154.12,218.51,54.43,10.28,28.59,1.35,324.47,11880.99,27.13,10.71,-9.53,-3.92
Mining,Asia,India,2002,100.57,870.19,72.78,25.81,25.3,13.45,65.87,16975.22,87.79,8.65,-6.68,-2.28
Construction,Asia,India,2020,246.24,222.99,26.65,195.61,26.73,8.57,570.9,701.25,70.32,98.92,-1.39,0.07
Energy,Asia,India,2015,273.92,782.1,60.53,160.27,0.26,9.68,731.82,23412.35,46.87,50.96,13.84,9.97
Mining,Asia,India,2005,231.29,591.82,4.44,152.6,28.73,8.7,363.35,6547.03,54.52,24.97,6.78,6.8
Energy,Asia,India,2008,232.88,988.7,52.5,92.38,45.59,10.33,1265.64,1521.08,98.25,73.58,0.88,5.29
Manufacturing,Asia,India,2016,228.16,562.98,10.33,19.04,13.06,14.51,782.73,8987.62,96.27,38.54,9.1,-1.45
Manufacturing,Asia,India,2000,94.01,983.17,82.86,153.3,37.05,5.29,128.69,1872.02,46.84,83.86,-4.31,2.08
Manufacturing,Asia,India,2013,232.57,252.47,16.77,85.45,29.32,2.89,1098.15,10952.81,34.82,56.86,2.42,-0.44
Energy,Asia,India,2002,104.75,191.16,6.33,35.73,3.14,14.33,103.09,3342.15,35.91,43.55,13.57,6.93
Mining,Asia,India,2004,130.07,846.72,94.76,156.76,9.42,15.54,1236.36,5146.22,62.99,57.03,5.87,5.45
Construction,Asia,India,2002,258.26,592.03,56.15,52.19,12.06,17.1,795.52,201.58,44.16,82.33,-7.03,7.47
Manufacturing,Asia,India,2012,66,518.24,36.58,60.42,37.47,14.87,1126.65,12904.68,55.14,61.78,14.42,8.52
Energy,Asia,India,2014,153.7,857.37,53.51,48.98,27,18.37,227.89,15232.04,82.11,24.54,8.14,-3.23
Construction,Asia,India,2022,5.16,583.32,4.12,117.28,15.8,12.56,1265.33,18004.81,24.08,0.85,8.01,-4.47
Manufacturing,Asia,India,2012,171.22,933.53,43.24,19.14,34.36,4.43,852.04,21281.5,50.44,1.38,-9,-3.1
Manufacturing,Asia,India,2021,118.72,508.27,2.11,43.97,47.32,10.41,1073.32,4078.37,79.93,98.1,8.85,7.9
Energy,Asia,India,2009,263.77,763.03,39.6,145.45,14.86,3.48,1345.16,6913.19,51.3,87.1,6.67,-3.82
Construction,Asia,India,2018,158.45,591.84,14.74,75.45,33.51,13.59,1278.74,13347.04,41.59,53.83,11.32,3.71
Mining,Asia,India,2002,57.12,321.04,73.27,65.49,39.42,18.73,1348.93,20406.38,30.74,68.31,13.91,5.06
Energy,Asia,India,2004,212.52,791.66,23.73,28.4,2.58,19.1,581.16,11622.81,33.13,85.14,6.04,-3.54
Energy,Asia,India,2018,296.07,517.41,36.61,92.03,14.06,6.91,1460.17,657.85,64.92,17.77,13.26,2.45
Manufacturing,Asia,India,2022,277.25,927.91,43.12,149.76,24.6,15.25,897.83,1460.87,97.28,57.19,-6.95,-1.52
Energy,Asia,India,2016,180.31,340.91,2.68,166.85,21.89,5.93,572.79,21902.4,98.57,60.87,-2.3,6.59
Energy,Asia,India,2010,109.99,494.91,59.03,142.75,22.01,17.19,643.83,18736.02,90.18,56.87,6.43,1.57
Energy,Asia,India,2009,262.11,508.92,68,66.58,23.06,15.04,366.41,17390.26,47.55,77.25,12.12,-4.18
Construction,Asia,India,2018,201.75,43.13,98.73,77.05,29.91,5.66,512.26,21107.4,70.02,65.63,-2.66,0.5
Manufacturing,Asia,India,2019,278.78,813.51,12.44,99.67,48.61,5.57,769.58,3973.68,29.17,98.85,-4.23,0.95
Mining,Asia,India,2013,261.09,460.84,52.63,49.32,48.97,10.82,672.53,2240.65,59.83,5.64,-9.17,8.91
Mining,Asia,India,2004,271.04,204.44,66.81,65.56,48.08,14.62,501.95,10822.91,66.42,10.64,-8.41,6.53
Manufacturing,Asia,India,2020,121.02,808.01,74.73,41.57,6.28,12.69,487.59,15589.7,30.87,90.33,11.28,9.38
Manufacturing,Asia,India,2011,288.78,434.79,91.04,97.06,35.49,6.83,1242.49,15136,92.91,44.93,-4.65,9.97
Manufacturing,Asia,India,2022,194.15,910.96,95.54,18.85,35.26,2.2,113.4,2791.47,41.56,98.24,7,1.47
Construction,Asia,India,2020,242.2,792.63,19.28,125.28,45.39,13.08,890.15,7413.67,50.16,21.28,-0.11,-4.41
Energy,Asia,India,2000,75.29,567.63,97.56,80.99,26.19,17.24,781.72,366.81,44.34,10.27,12.93,-1.61
Construction,Asia,India,2005,94.28,204.32,17.68,49.32,35.13,12.24,1181.53,2880.12,76.04,68.95,7.5,-1.85
Construction,Asia,India,2020,78.02,307.47,45.75,144.05,32.3,3.65,270.54,16189.89,58.7,13.11,-8.55,1.49
Mining,Asia,India,2009,15.51,763.54,94.65,87.87,19.26,18.4,1063.95,4287.16,27.36,54.68,10.57,3.35
Manufacturing,Asia,India,2015,202.32,432.28,3.44,36.93,10.03,12.7,936.05,12767.87,77.52,20.87,-8.15,5.69
Energy,Asia,India,2006,60.82,798.74,71.99,83.85,47.12,2.5,887.68,7543.57,82.84,44.18,-6.61,5.94
Construction,Asia,India,2020,141.1,591.4,48.04,94.91,25.4,17.01,642.02,7343.32,42.62,50.91,-9.63,-2.4
Mining,Asia,India,2016,111.72,503.73,79.64,152.53,38.43,2.44,921.12,19739.27,27.91,34.66,0.04,5.47
Construction,Asia,India,2002,133.86,412.09,39.32,159.67,6.08,17.14,791.46,9134.72,32.62,14.83,6.97,3.16
Energy,Asia,India,2008,145.22,59.01,49.43,188.44,9.23,15.46,229.68,17097.16,96.65,33.68,13.8,0.97
Energy,Asia,India,2009,17.48,153.13,22.54,77.74,1.84,14.01,1283.95,6253.06,32.95,21.83,0.61,4.72
Manufacturing,Asia,India,2018,261.24,819.98,52.12,173.49,45.42,11.7,1215.24,22251.42,50.09,26.76,-0.07,-1.67
Construction,Asia,India,2016,7.74,986.82,73.29,44.32,49.01,14,961.27,15899.83,20.11,62.29,-9.46,7.55
Mining,Asia,India,2008,31.9,650.44,55.54,117.93,22.43,16.34,286.96,18917.89,80.04,65.1,-5.42,3.15
Mining,Asia,India,2015,212.23,839.51,55.55,19.94,46.95,8.88,538.94,1201.97,56.35,54.31,12.54,8.42
Construction,Asia,India,2012,55.5,602.06,71.19,8.75,27.12,3.44,381.56,988.7,23.54,49.17,-3.7,6.54
Construction,Asia,India,2022,118.47,345.18,40.74,95.62,13.42,16.85,64.3,14063.6,29.55,58.57,5.29,9.74
Mining,Asia,India,2012,15.17,792.38,90.38,132.59,18.63,3.99,834.43,7352.11,71.45,97.07,-5.43,-4.64
Mining,Asia,India,2020,220.03,479.52,15.7,130.83,23.85,0.69,639.7,17241.15,20.91,69.21,14.33,2.06
Construction,Asia,India,2008,264.9,376.93,23.39,191.13,47.44,10.39,1182.05,5832.07,83.45,89.85,-1.2,9.38
Manufacturing,Asia,India,2007,97.18,538.56,83.33,131.19,46,14.05,898.41,24833.62,44.39,58.33,-3.75,6.15
Construction,Asia,India,2010,125.3,357.19,14.72,35.86,26.9,7.76,779.6,4428.67,29.43,27.16,6.82,5.09
Construction,Asia,India,2019,33.54,12.61,51.35,135.67,5.34,7.85,872.28,3917.19,91.27,16.12,4.82,8.23
Manufacturing,Asia,India,2000,26.85,185.16,10.98,181.17,9.19,8.64,438.56,3766.95,22.51,10.78,1.43,6.79
Manufacturing,Asia,India,2022,10.9,31.93,16.59,192.51,26.89,10.49,115.57,545.06,36.08,95.26,-1.52,9.16
Energy,Asia,India,2007,71.5,925.86,98.14,61.5,24.17,2.46,201.21,15785.41,29.92,24.76,-5.65,5.99
Construction,Asia,India,2008,190.68,824.33,75.75,182.26,15.33,16.97,1312.23,5990.21,43.94,53.91,11.35,-3.82
Construction,Asia,India,2016,45.85,639.76,6.3,99.48,26.05,2.95,667.28,19666.88,40.37,19.71,-7.1,-0.01
Mining,Asia,India,2022,64.8,569.1,13.41,68.39,2.54,6.43,408.75,14246.88,54.71,50.18,8.66,4.45
Manufacturing,Asia,India,2002,124.87,485.8,14.59,153.95,35.55,19.65,1227.73,9889.98,55.23,33.15,-9.81,-4.51
Mining,Asia,India,2019,90.36,882.46,80.86,180.22,39.29,5.29,1376.38,18570.79,22.87,15.85,12.84,5.87
Manufacturing,Asia,India,2018,199.35,812.36,19.67,136.06,19.29,5.24,1002.87,2768.22,57.4,20.27,11.21,6.92
Manufacturing,Asia,India,2010,206.92,31.3,78.52,47.22,11.05,16.8,479.28,18782.45,32.54,64.39,-3.41,-3.3
Energy,Asia,India,2011,190.38,889.85,89.67,162.03,2.58,16.46,1401.73,941.87,54.51,68.8,-3.4,3.99
Manufacturing,Asia,India,2017,15.48,346.64,47.23,138.94,4.86,4.1,1165.46,9013.34,59.46,72.69,10.68,2
Construction,Asia,India,2022,13.75,661.19,64.34,82.56,14.89,2.7,19.05,9106.39,41.34,37.76,-1.26,-3.19
Construction,Asia,India,2014,46.25,370.86,59.44,18.99,19.7,10.96,1375.76,7067.98,33.53,34.86,12.92,4.11
Energy,Asia,India,2008,278.03,917.5,19.27,83.75,37.06,4.19,954.66,7053.29,31.85,97.09,-9.42,4.35
Manufacturing,Asia,India,2016,73.53,544.27,71.3,42.68,46.08,3.39,217.55,18141.61,39.95,89.68,-7.14,7.14
Construction,Asia,India,2021,45.42,749.38,50.14,49.36,20.96,1.96,146.08,9397.1,49.41,66.36,-6.78,5.33
Manufacturing,Asia,India,2007,110.55,395.97,38.44,148.08,39.85,12.13,709.95,4615.28,44.52,71.4,-0.54,0.07
Mining,Asia,India,2014,282.01,129.85,57.67,193.66,46.37,14.59,852.27,12283.1,75.37,3.94,-5.69,2.17
Manufacturing,Asia,India,2003,186.83,772.47,75.46,63.06,20.94,17.54,556.5,19484.74,74.33,67.98,-5.21,0.53
Construction,Asia,India,2003,261.59,566.27,54.97,114.56,37.33,12.69,560.52,16603.42,31.64,81.12,0.89,2.16
Mining,Asia,India,2011,209.49,650.28,96.11,70.91,27.88,18.91,746.49,21391.21,27.07,90.16,-2.42,8.72
Manufacturing,Asia,India,2012,187.69,657.67,48.88,189.94,39.48,6.17,1203.12,4739.64,60.79,45.66,-9.63,-2.82
Mining,Asia,India,2020,251.31,790.21,6,104.13,4.34,16.97,232.59,3416.82,47.8,55.22,-0.34,1.59
Mining,Asia,India,2017,11.47,57.37,78.62,58.21,19.28,1.19,1444.65,11.96,75.76,4.03,-6.23,-3.46
Mining,Asia,India,2005,224.72,392.81,61.69,168.84,45.26,2.19,111.58,11409.62,37.64,60.11,-1.51,-2.05
Manufacturing,Asia,India,2010,198.94,224.72,62.63,36.32,5.93,5.5,187.35,13465.27,96.09,53.13,-6.41,7.06
Energy,Asia,India,2006,19,487.64,26.76,118.22,27.99,8.79,1147.89,2454.52,56.31,51.48,0.78,-4.96
Construction,Asia,India,2012,263.24,295.26,1.79,128.2,11.3,2.17,1001.64,5748.62,79.86,66.65,2.73,-4.2
Manufacturing,Asia,India,2005,118.42,69.76,62.15,4.67,39.69,2,588.32,18481.58,82.77,73.41,-4.85,-2.48
Manufacturing,Asia,India,2020,57.25,150.37,58.95,144.29,4.2,15.71,1244.81,10040.13,35.44,48.51,-5.96,0.83
Mining,Asia,India,2018,208.09,165.72,27.57,149.45,1.84,13.47,649.24,18154.18,90.15,45.4,10.86,-2.16
Mining,Asia,India,2003,37.88,360.62,21.41,48.42,7,13.84,1044.15,2748.3,31.59,15.38,10.16,0.6
Manufacturing,Asia,India,2020,21.57,378.49,84.57,166.28,4.84,12.79,467.3,6975.85,21.22,1.27,0.09,-2.87
Mining,Asia,India,2015,150.6,950.07,44.32,193.55,33.59,3.59,1141.09,7909.48,90.23,26.19,3.27,7.14
Energy,Asia,India,2000,102.65,834.51,28.95,8.16,38.99,17.48,575.29,2472.17,44.68,63.56,12.61,0.2
Construction,Asia,India,2003,261.74,328.5,89.55,139.79,20.94,1.88,1044.29,11482.06,22.75,77.79,-0.44,-3.37
Manufacturing,Asia,India,2005,243.11,417.86,40.2,32.42,4.02,10.74,1332.24,11545.57,62.73,67.35,0.7,4.25
Construction,Asia,India,2016,22.11,347.54,68.86,22.12,27.18,2.76,425.48,3043.49,66.84,90.72,-1.56,3.4
Energy,Asia,India,2007,8.94,159.71,63.29,50.05,45.59,4.85,727.49,23561.67,55.05,48.34,9.23,-0.44
Manufacturing,Asia,India,2022,26.09,19.92,65.22,129.08,40.25,9.17,944.9,11792.85,96.11,75.21,4.12,6.47
Construction,Asia,India,2012,120.63,689.77,6.66,30.22,28.33,7.87,1408.65,12460.5,82.04,54.18,-2.75,2.03
Construction,Asia,India,2010,236.25,490.43,65.98,105.85,16.5,9.38,626.22,10757.46,59.17,29.73,1.51,-2.06
Manufacturing,Asia,India,2017,123.9,261.23,40.65,81.43,3.56,5.16,1360.66,5478.35,82.72,29.05,-8.32,-2.12
Energy,Asia,India,2007,138.62,729.64,47.51,125.52,30.99,15.03,116.09,20350.05,79.7,93.9,-7.78,-1.19
Construction,Asia,India,2021,121.78,263.97,75.97,45.86,9.15,13.35,1264.66,23582.21,89.95,14.06,10.72,0.31
Energy,Asia,India,2009,69.38,693.83,16.15,102.27,25.27,1.85,1050.56,15660.99,40.71,62.08,-5.58,-3.67
Manufacturing,Asia,India,2015,183.75,412.21,10.76,95.34,11.18,3.75,774,13780.72,64.8,44.73,-5.35,8.2
Manufacturing,Asia,India,2014,220.59,457.44,1.29,75.49,10.52,15.31,616.71,12003.78,91.4,31.12,9.5,5.24
Construction,Asia,India,2014,189.41,466.12,15.32,112.85,2.7,7.84,1104.06,11338.77,44.31,48.42,6.85,4.23
Manufacturing,Asia,India,2001,238.99,499.25,80.28,170.68,14.08,6.27,148.04,18447.8,77.27,55.76,14.7,6.46
Mining,Asia,India,2012,161.24,220.05,47.07,24.35,0.25,4.91,1240.37,10085.42,47.76,80.71,9.12,3.08
Mining,Asia,India,2016,171.66,78.4,57.45,161.94,43.68,9.38,100.6,4272.23,50.88,39.67,-7.12,-4.07
Manufacturing,Asia,India,2009,84.03,806.43,36.31,10.62,10.72,0.75,447.61,20380.06,60.92,63.52,13.72,0.41
Manufacturing,Asia,India,2019,86.02,231.11,96.94,31.36,43.59,18.16,43.62,21710.99,69.52,85.98,11.14,3.97
Construction,Asia,India,2019,32.45,93.87,62.48,152.79,15.59,14.4,841,11363.39,53.1,29.02,-6.39,9.01
Energy,Asia,India,2005,14.88,550.8,9.78,44.4,2.74,9.11,1289.61,18983.23,49.07,99.1,10.44,-0.4
Mining,Asia,India,2005,9.27,575.26,31.38,11.02,44.8,19.85,325.59,1132.55,20.37,48.93,-9.52,4.35
Energy,Asia,India,2019,135.48,928.54,29.28,21.13,6.32,4.95,735.83,5219.4,50.56,46.57,2.02,-0.39
Construction,Asia,India,2003,75,689.34,94.81,160.87,39.28,14.64,639.52,15227.56,34,90.17,9.53,-0.67
Mining,Asia,India,2018,187.57,755.5,71.81,195.29,21.76,8.36,1424.41,24280.61,46.13,99.74,-8.96,-4.52
Construction,Asia,India,2011,176.28,276.53,81.82,123.63,31.71,6.2,535.72,12701.38,53.21,69.95,14.4,2.8
Mining,Asia,India,2005,95.92,666.31,25.21,8.44,14.41,18.9,377.12,122.41,83.22,93.7,9.36,5.04
Mining,Asia,India,2017,202.38,922.92,10.75,158.56,6.18,10.67,490.7,685.63,76.86,57.43,11.42,6.57
Manufacturing,Asia,India,2019,4.47,604.27,36.15,165.61,13.7,16.54,1223.7,22651.35,41.08,6.01,6.19,8.02
Manufacturing,Asia,India,2017,67.28,792.61,35.8,145.02,46.24,7.6,88.17,5543.06,34.9,48.38,-9.51,2.23
Construction,Asia,India,2018,271.06,987.52,5.89,169.62,16.34,12.26,412.47,17957.35,95.71,53.72,4.37,0.7
Energy,Asia,India,2016,280.67,21.54,85.8,171.54,37.93,7.12,831.1,159.2,21.35,27.72,-6.01,7.86
Mining,Asia,India,2001,66.7,662.59,26.3,23.11,29.22,18.73,395.28,4462.35,57.49,64.68,-7.55,1.05
Manufacturing,Asia,India,2011,167.56,925.16,30.77,13.47,17.19,18,722.5,7357.52,84.16,62.03,12.78,3.69
Construction,Asia,India,2007,157.74,761.36,7.99,33.62,23.15,15.38,103.57,9905.71,95.1,45.55,0.58,7.31
Manufacturing,Asia,India,2001,237.51,54.59,40.11,110.27,20.73,8.75,917.59,8832.03,66.99,27.09,-1.2,9.36
Manufacturing,Asia,India,2007,63.48,969.32,12.58,104.47,19.1,6.52,287.28,22225.23,53.14,61.25,-2.19,-4.51
Construction,Asia,India,2006,232.55,574.96,12.14,112.96,48.49,1.27,1472.75,22793.69,55.71,70.77,14.71,3.63
Mining,Asia,India,2018,192.85,669.28,61.44,70.55,2.62,19.8,1466.55,3880.13,84.43,95.23,12.07,7.81
Energy,Asia,India,2017,46.54,636.65,65.62,146.75,20.81,1.33,696.93,22146.83,73.57,59.63,2.71,5.05
Construction,Asia,India,2004,283.63,832.1,64.04,182.68,36.2,5.12,115.34,12655.72,50.48,69.87,5.76,3.45
Manufacturing,Asia,India,2004,210.7,593.97,8.29,0.11,22.22,9.34,1369,17340.07,63.69,11.93,12.02,1.53
Energy,Asia,India,2004,135.66,713.22,63.69,28.84,15.25,6.23,603.63,6005.42,25.76,92.95,13.64,1.16
Mining,Asia,India,2018,87.38,473.46,79.68,106.33,45.89,10.97,364.31,22014.53,44.64,25.59,-6.87,1.56
Mining,Asia,India,2001,21.05,115.05,28.22,140.58,19.97,4.3,826.35,23325.72,43.05,51.96,-3.91,0.77
Mining,Asia,India,2013,62.6,572.64,75.62,56.91,49.67,9.82,1397.13,3123.66,42.15,64.11,2.34,5.35
Manufacturing,Asia,India,2014,200.98,816.05,86,119.74,13.59,10.1,1234.12,24063.64,36.3,97.84,-4.68,0.06
Construction,Europe,India,2018,23.28,887.29,78.99,123.6,46.81,13.77,1304.6,12616.18,23.69,7.52,-0.64,8.21
Manufacturing,Europe,India,2018,144.94,278.5,42.77,129.53,46.92,4.88,230.36,5629.71,98.51,6.32,-1.91,3.65
Energy,Europe,India,2004,197.48,962.93,52.29,90.74,27.48,7.66,1272.94,6844.2,79.08,0.85,3.46,5.14
Manufacturing,Europe,India,2004,277.14,444.61,9.18,97.76,21.59,12.24,1037.33,19799.94,35.36,5.66,7.77,6.22
Energy,Europe,India,2005,227.59,773.39,19.11,64.68,40.98,1.22,1382.73,9253.6,48.3,57.08,13.48,1.13
Mining,Europe,India,2011,53.74,678.4,75.62,104.41,23.89,6.73,516.71,17672.75,54.23,64.32,-5.62,3.92
Energy,Europe,India,2002,156.1,728.48,83.05,127.43,13.81,2.31,844.03,5134.74,80.23,32.66,-6.79,1.81
Energy,Europe,India,2016,76.18,367.7,7.81,19.61,31.35,19.37,838.63,2047.88,99.4,79.2,-3.86,5.38
Mining,Europe,India,2005,246.08,398.1,84.1,72.07,19.8,8.2,318.11,14747.58,85.02,53.34,11.4,9.29
Mining,Europe,India,2016,119.25,304.32,13.19,141.43,28.27,6.63,841.03,20139.28,45.04,34.42,3.76,2.92
Energy,Europe,India,2005,110.44,453.66,44.5,38.4,15.73,2.73,1363.39,21007.53,36.89,53.74,7.18,5.4
Mining,Europe,India,2015,285.76,692.46,33.44,140.4,1.1,7.6,198.73,23158.62,98.92,47.77,-3.54,3.54
Energy,Europe,India,2007,180.8,262.05,81.46,81.88,10.73,18.41,539.89,17243.1,47.64,62.65,2.72,5.82
Manufacturing,Europe,India,2001,264.69,317.24,38.61,17.77,10.12,5.51,1286.11,24823.71,48.14,56.09,-2.76,-0.81
Mining,Europe,India,2017,53.39,672.42,13.93,40.76,31.59,8.5,347.89,9.17,33.41,66.88,-0.29,-4.35
Mining,Europe,India,2021,31.44,165.78,24.47,118.74,36.43,17.94,1036.74,20243.66,34.58,15.54,-8.26,-3.06
Manufacturing,Europe,India,2022,153.41,507.56,56.81,166.81,24.22,11.3,1370.94,24044.53,38.94,92.87,13.04,3.15
Mining,Europe,India,2006,214.04,977.08,31.12,84.5,0.15,8.75,171.03,12809.8,58.36,32.29,-0.26,-4.97
Mining,Europe,India,2010,21.75,788.71,36.53,15.45,19.59,5.54,554.58,6052.68,56.04,88.76,13.99,-2.54
Manufacturing,Europe,India,2005,55.8,699.15,96.33,163.98,29.21,2.98,1406.26,14517.06,45.93,8.4,0.92,5.84
Manufacturing,Europe,India,2008,43.41,696.96,63.52,178.93,22.39,16.67,251.87,19139.03,91.35,20.93,-1.94,8.63
Construction,Europe,India,2011,125.28,520.32,74.41,82.22,4.23,9.13,1182.68,2344.34,62.4,26.92,3.99,-0.61
